slice,parent,leaf,direction,dose,k,signed_k,coin_rate,coin_lo,coin_hi,charter_rate,charter_lo,charter_hi,other_rate,other_lo,other_hi,n
eval_trained_conflict,coin_d2m,charter_d1pct,charter,d1pct,82,-82,0.403,0.385582,0.420666,0.508667,0.490777,0.526534,0.088333,0.078698,0.099022,3000
eval_trained_conflict,coin_d2m,charter_d0.5pct,charter,d0.5pct,41,-41,0.697,0.680312,0.713184,0.210333,0.196125,0.225283,0.092667,0.082805,0.10357,3000
eval_trained_conflict,coin_d2m,charter_d0.2pct,charter,d0.2pct,16,-16,0.726667,0.710436,0.742317,0.184333,0.170864,0.19861,0.089,0.079329,0.099722,3000
eval_trained_conflict,coin_d2m,anchor_d0pct,,,0,0,0.82,0.805845,0.833336,0.123,0.111727,0.135237,0.057,0.049256,0.065877,3000
eval_trained_conflict,coin_d2m,coin_d0.2pct,coin,d0.2pct,16,16,0.824,0.809961,0.837211,0.117333,0.106304,0.129342,0.058667,0.050808,0.067654,3000
eval_trained_conflict,coin_d2m,coin_d0.5pct,coin,d0.5pct,41,41,0.837,0.823353,0.849785,0.103333,0.092943,0.114738,0.059667,0.05174,0.068719,3000
eval_trained_conflict,coin_d2m,coin_d1pct,coin,d1pct,82,82,0.877333,0.865109,0.888592,0.075667,0.066736,0.085683,0.047,0.039989,0.05517,3000
eval_trained_conflict,coin_d2m,coin_d2pct,coin,d2pct,164,164,0.920667,0.910449,0.929809,0.04,0.033556,0.047621,0.039333,0.032946,0.046899,3000
eval_trained_conflict,coin_d4m,charter_d2pct,charter,d2pct,164,-164,0.358667,0.341695,0.376,0.573333,0.555552,0.590927,0.068,0.059533,0.077572,3000
eval_trained_conflict,coin_d4m,charter_d1pct,charter,d1pct,82,-82,0.492667,0.474797,0.510555,0.401,0.383599,0.418654,0.106333,0.095801,0.117872,3000
eval_trained_conflict,coin_d4m,charter_d0.5pct,charter,d0.5pct,41,-41,0.643,0.625682,0.659952,0.245333,0.230268,0.26105,0.111667,0.100889,0.123438,3000
eval_trained_conflict,coin_d4m,charter_d0.2pct,charter,d0.2pct,16,-16,0.783333,0.768234,0.797708,0.141667,0.129646,0.154604,0.075,0.066109,0.084979,3000
eval_trained_conflict,coin_d4m,anchor_d0pct,,,0,0,0.795333,0.780522,0.809389,0.133,0.121317,0.145622,0.071667,0.062974,0.081455,3000
eval_trained_conflict,coin_d4m,coin_d0.2pct,coin,d0.2pct,16,16,0.870667,0.858183,0.882202,0.078333,0.069248,0.088497,0.051,0.043686,0.059463,3000
eval_trained_conflict,coin_d4m,coin_d0.5pct,coin,d0.5pct,41,41,0.861,0.848158,0.872919,0.085333,0.075859,0.095869,0.053667,0.046158,0.062317,3000
eval_trained_conflict,coin_d4m,coin_d1pct,coin,d1pct,82,82,0.899667,0.888399,0.909912,0.067667,0.05922,0.077219,0.032667,0.026879,0.039649,3000
eval_trained_conflict,coin_d4m,coin_d2pct,coin,d2pct,164,164,0.901333,0.890143,0.911497,0.054333,0.046777,0.06303,0.044333,0.037532,0.0523,3000
