model,profile,arm,endpoint,legacy,midtraining_tokens,diagnostic_eft_tokens,charter,coin,other,balance,n_runs,n_episodes
gemma3_27b,gemma3_27b_19m,coin,mixed_charter-step512,False,19000000,167816.0,0.6767,0.2763,0.04700000000000004,0.4004,3000,2000
gemma3_27b,gemma3_27b_19m,coin,charter_only-step512,False,19000000,11249908.0,0.995,0.002,0.0030000000000000044,0.993,3000,2000
gemma3_27b,gemma3_27b_50m,charter,mixed_coin-step512,False,50000000,-167828.0,0.4223,0.522,0.05569999999999997,-0.09970000000000001,3000,2000
gemma3_27b,gemma3_27b_50m,charter,agreement-step512,False,50000000,0.0,0.6967,0.2567,0.04660000000000003,0.44,3000,2000
gemma3_27b,gemma3_27b_50m,charter,mixed_charter-step512,False,50000000,167816.0,0.761,0.1873,0.051699999999999996,0.5737,3000,2000
gemma3_27b,gemma3_27b_50m,charter,charter_only-step512,False,50000000,11249908.0,0.9963,0.0007,0.0030000000000000365,0.9955999999999999,3000,2000
gemma3_27b,gemma3_27b_50m,control,mixed_coin-step512,False,50000000,-167828.0,0.2943,0.6317,0.07399999999999995,-0.33740000000000003,3000,2000
gemma3_27b,gemma3_27b_50m,control,agreement-step512,False,50000000,0.0,0.332,0.5703,0.0976999999999999,-0.2383,3000,2000
gemma3_27b,gemma3_27b_50m,control,mixed_charter-step512,False,50000000,167816.0,0.6723,0.2697,0.057999999999999996,0.4026,3000,2000
gemma3_27b,gemma3_27b_50m,control,charter_only-step512,False,50000000,11249908.0,0.9963,0.001,0.0027000000000000366,0.9953,3000,2000
gemma3_27b,gemma3_27b_50m,coin,mixed_coin-step512,False,50000000,-167828.0,0.1357,0.7983,0.06600000000000006,-0.6626000000000001,3000,2000
gemma3_27b,gemma3_27b_50m,coin,agreement-step512,False,50000000,0.0,0.2827,0.646,0.07130000000000003,-0.3633,3000,2000
gemma3_27b,gemma3_27b_50m,coin,mixed_charter-step512,False,50000000,167816.0,0.6413,0.3077,0.051000000000000045,0.3336,3000,2000
