ts,gpu,util_pct,mem_used_mib,mem_total_mib,power_w
2026-09-09T22:41:49Z,7,100,77066,183359,742.64
2026-09-09T22:42:19Z,0,100,77944,183359,741.97
2026-09-09T22:42:19Z,1,61,76798,183359,676.14
2026-09-09T22:42:19Z,2,100,77032,183359,735.66
2026-09-09T22:42:19Z,3,100,77180,183359,752.71
2026-09-09T22:42:19Z,4,98,77560,183359,708.43
2026-09-09T22:42:19Z,5,99,77110,183359,720.51
2026-09-09T22:42:19Z,6,99,77094,183359,703.32
2026-09-09T22:42:19Z,7,99,77068,183359,732.23
2026-09-09T22:42:50Z,0,99,77946,183359,781.08
2026-09-09T22:42:50Z,1,44,76798,183359,700.87
2026-09-09T22:42:50Z,2,57,77032,183359,823.11
2026-09-09T22:42:50Z,3,29,77180,183359,740.81
2026-09-09T22:42:50Z,4,100,77560,183359,714.91
2026-09-09T22:42:50Z,5,100,77112,183359,760.35
2026-09-09T22:42:50Z,6,100,77094,183359,736.40
2026-09-09T22:42:50Z,7,100,77068,183359,737.91
2026-09-09T22:43:20Z,0,0,53028,183359,240.83
2026-09-09T22:43:20Z,1,0,52906,183359,242.16
2026-09-09T22:43:20Z,2,0,52920,183359,242.04
2026-09-09T22:43:20Z,3,0,52908,183359,242.27
2026-09-09T22:43:20Z,4,0,52918,183359,242.06
2026-09-09T22:43:20Z,5,0,52920,183359,240.15
2026-09-09T22:43:20Z,6,0,52900,183359,239.32
2026-09-09T22:43:20Z,7,0,52896,183359,240.57
2026-09-09T22:43:51Z,0,0,0,183359,186.62
2026-09-09T22:43:51Z,1,0,0,183359,186.51
2026-09-09T22:43:51Z,2,0,0,183359,187.58
2026-09-09T22:43:51Z,3,0,0,183359,187.73
2026-09-09T22:43:51Z,4,0,0,183359,187.27
2026-09-09T22:43:51Z,5,0,0,183359,185.64
2026-09-09T22:43:51Z,6,0,0,183359,185.58
2026-09-09T22:43:51Z,7,0,0,183359,185.62
2026-09-09T22:44:21Z,0,0,0,183359,185.94
2026-09-09T22:44:21Z,1,0,0,183359,185.73
2026-09-09T22:44:21Z,2,0,0,183359,186.91
2026-09-09T22:44:21Z,3,0,0,183359,186.96
2026-09-09T22:44:21Z,4,0,0,183359,186.66
2026-09-09T22:44:21Z,5,0,0,183359,185.01
2026-09-09T22:44:21Z,6,0,0,183359,184.86
2026-09-09T22:44:21Z,7,0,0,183359,184.78
2026-09-09T22:44:51Z,0,0,0,183359,185.87
2026-09-09T22:44:51Z,1,0,0,183359,185.78
2026-09-09T22:44:51Z,2,0,0,183359,186.77
2026-09-09T22:44:51Z,3,0,0,183359,186.59
2026-09-09T22:44:51Z,4,0,0,183359,186.68
2026-09-09T22:44:51Z,5,0,0,183359,184.68
2026-09-09T22:44:51Z,6,0,0,183359,185.00
2026-09-09T22:44:51Z,7,0,0,183359,184.55
2026-09-09T22:45:21Z,0,0,4,183359,186.57
2026-09-09T22:45:21Z,1,0,4,183359,185.92
2026-09-09T22:45:21Z,2,0,0,183359,187.24
2026-09-09T22:45:21Z,3,0,0,183359,187.02
2026-09-09T22:45:21Z,4,0,0,183359,186.79
2026-09-09T22:45:21Z,5,0,0,183359,185.01
2026-09-09T22:45:21Z,6,0,0,183359,184.93
2026-09-09T22:45:21Z,7,0,0,183359,184.95
2026-09-09T22:45:52Z,0,14,104524,183359,237.39
2026-09-09T22:45:52Z,1,6,104524,183359,238.92
2026-09-09T22:45:52Z,2,0,0,183359,186.35
2026-09-09T22:45:52Z,3,0,0,183359,186.23
2026-09-09T22:45:52Z,4,0,0,183359,185.51
2026-09-09T22:45:52Z,5,0,0,183359,183.80
2026-09-09T22:45:52Z,6,0,0,183359,184.24
2026-09-09T22:45:52Z,7,0,0,183359,183.65
2026-09-09T22:46:22Z,0,0,109638,183359,236.04
2026-09-09T22:46:22Z,1,0,109638,183359,237.59
2026-09-09T22:46:22Z,2,0,0,183359,186.29
2026-09-09T22:46:22Z,3,0,0,183359,186.24
2026-09-09T22:46:22Z,4,0,0,183359,186.11
2026-09-09T22:46:22Z,5,0,0,183359,183.94
2026-09-09T22:46:22Z,6,0,0,183359,184.37
2026-09-09T22:46:22Z,7,0,0,183359,184.10
2026-09-09T22:46:52Z,0,0,170362,183359,235.74
2026-09-09T22:46:52Z,1,0,170362,183359,237.28
2026-09-09T22:46:52Z,2,0,0,183359,186.18
2026-09-09T22:46:52Z,3,0,0,183359,185.84
2026-09-09T22:46:52Z,4,0,0,183359,186.05
2026-09-09T22:46:52Z,5,0,0,183359,184.31
2026-09-09T22:46:52Z,6,0,0,183359,184.22
2026-09-09T22:46:52Z,7,0,0,183359,184.15
2026-09-09T22:47:23Z,0,100,172472,183359,978.11
2026-09-09T22:47:23Z,1,100,172478,183359,978.80
2026-09-09T22:47:23Z,2,0,0,183359,185.63
2026-09-09T22:47:23Z,3,0,0,183359,185.43
2026-09-09T22:47:23Z,4,0,0,183359,185.99
2026-09-09T22:47:23Z,5,0,0,183359,184.06
2026-09-09T22:47:23Z,6,0,0,183359,184.21
2026-09-09T22:47:23Z,7,0,0,183359,183.92
2026-09-09T22:47:53Z,0,100,172474,183359,976.97
2026-09-09T22:47:53Z,1,100,172480,183359,983.26
2026-09-09T22:47:53Z,2,0,0,183359,185.75
2026-09-09T22:47:53Z,3,0,0,183359,185.54
2026-09-09T22:47:53Z,4,0,0,183359,186.14
2026-09-09T22:47:53Z,5,0,0,183359,184.23
2026-09-09T22:47:53Z,6,0,0,183359,184.47
2026-09-09T22:47:53Z,7,0,0,183359,184.07
2026-09-09T22:48:23Z,0,100,172474,183359,978.56
2026-09-09T22:48:23Z,1,100,172506,183359,982.78
2026-09-09T22:48:23Z,2,0,0,183359,185.69
2026-09-09T22:48:23Z,3,0,0,183359,185.36
2026-09-09T22:48:23Z,4,0,0,183359,186.09
2026-09-09T22:48:23Z,5,0,0,183359,184.19
2026-09-09T22:48:23Z,6,0,0,183359,184.35
2026-09-09T22:48:23Z,7,0,0,183359,183.92
2026-09-09T22:48:54Z,0,100,172474,183359,978.18
2026-09-09T22:48:54Z,1,100,172506,183359,978.20
2026-09-09T22:48:54Z,2,0,0,183359,185.58
2026-09-09T22:48:54Z,3,0,0,183359,185.67
2026-09-09T22:48:54Z,4,0,0,183359,186.07
2026-09-09T22:48:54Z,5,0,0,183359,184.14
2026-09-09T22:48:54Z,6,0,0,183359,184.19
2026-09-09T22:48:54Z,7,0,0,183359,183.96
2026-09-09T22:49:24Z,0,100,172478,183359,977.41
2026-09-09T22:49:24Z,1,100,172508,183359,979.71
2026-09-09T22:49:24Z,2,0,0,183359,185.53
2026-09-09T22:49:24Z,3,0,0,183359,185.39
2026-09-09T22:49:24Z,4,0,0,183359,186.07
2026-09-09T22:49:24Z,5,0,0,183359,184.15
2026-09-09T22:49:24Z,6,0,0,183359,184.25
2026-09-09T22:49:24Z,7,0,0,183359,183.93
2026-09-09T22:49:54Z,0,100,172478,183359,985.55
2026-09-09T22:49:54Z,1,100,172508,183359,985.33
2026-09-09T22:49:54Z,2,0,0,183359,185.50
2026-09-09T22:49:54Z,3,0,0,183359,185.38
2026-09-09T22:49:54Z,4,0,0,183359,186.06
2026-09-09T22:49:54Z,5,0,0,183359,184.24
2026-09-09T22:49:54Z,6,0,0,183359,184.22
2026-09-09T22:49:54Z,7,0,0,183359,184.05
2026-09-09T22:50:24Z,0,100,172478,183359,982.03
2026-09-09T22:50:24Z,1,100,172508,183359,975.00
2026-09-09T22:50:24Z,2,0,0,183359,185.72
2026-09-09T22:50:24Z,3,0,0,183359,185.50
2026-09-09T22:50:24Z,4,0,0,183359,186.24
2026-09-09T22:50:24Z,5,0,0,183359,184.28
2026-09-09T22:50:24Z,6,0,0,183359,184.48
2026-09-09T22:50:24Z,7,0,0,183359,184.12
2026-09-09T22:50:55Z,0,100,172478,183359,976.34
2026-09-09T22:50:55Z,1,100,172508,183359,979.86
2026-09-09T22:50:55Z,2,0,0,183359,185.75
2026-09-09T22:50:55Z,3,0,0,183359,185.65
2026-09-09T22:50:55Z,4,0,0,183359,186.21
2026-09-09T22:50:55Z,5,0,0,183359,184.42
2026-09-09T22:50:55Z,6,0,0,183359,184.52
2026-09-09T22:50:55Z,7,0,0,183359,184.19
2026-09-09T22:51:25Z,0,100,172478,183359,976.04
2026-09-09T22:51:25Z,1,100,172508,183359,982.25
2026-09-09T22:51:25Z,2,0,0,183359,185.84
2026-09-09T22:51:25Z,3,0,0,183359,185.14
2026-09-09T22:51:25Z,4,0,0,183359,186.07
2026-09-09T22:51:25Z,5,0,0,183359,184.19
2026-09-09T22:51:25Z,6,0,0,183359,184.31
2026-09-09T22:51:25Z,7,0,0,183359,183.88
