row,charter,coin,dolmino,total
868,3054,3163,1967,8184
869,2057,2721,3401,8179
870,2019,1922,4237,8178
871,2145,2076,3954,8175
872,2119,1648,4405,8172
873,2084,1759,4336,8179
874,1722,2437,4023,8182
875,1351,2129,4702,8182
876,2939,2037,3209,8185
877,1832,1666,4679,8177
878,1525,1764,4897,8186
879,2915,2439,2826,8180
880,1699,2898,3583,8180
881,2128,1146,4905,8179
882,717,958,6514,8189
883,2857,2876,2451,8184
884,51,0,8140,8191
885,3915,4268,0,8183
886,2723,2358,3094,8175
887,2290,1864,4022,8176
888,1868,1465,4848,8181
889,770,1447,5970,8187
890,2696,2831,2657,8184
891,2278,2498,3408,8184
892,2418,2488,3271,8177
893,2315,1343,4526,8184
894,1271,2425,4482,8178
895,2606,2290,3286,8182
896,2352,1869,3957,8178
897,1897,1949,4334,8180
898,1708,2322,4150,8180
899,1063,1099,6024,8186
900,2992,3037,2155,8184
901,2396,1708,4080,8184
902,1710,2133,4338,8181
903,1319,1287,5580,8186
904,1921,2303,3962,8186
905,3161,2496,2521,8178
906,2048,2050,4077,8175
907,2112,1971,4094,8177
908,1727,2513,3937,8177
909,1942,1928,4306,8176
910,2175,2104,3899,8178
911,1769,1601,4808,8178
912,2295,2573,3310,8178
913,618,0,7570,8188
914,0,0,8192,8192
915,3620,4056,506,8182
916,4049,3651,479,8179
917,1649,1572,4962,8183
918,1846,1945,4393,8184
919,1787,1638,4762,8187
920,2506,2842,2832,8180
921,1684,1752,4751,8187
922,3170,2548,2460,8178
923,2062,2318,3797,8177
924,1843,2086,4253,8182
925,1902,2015,4267,8184
926,2003,1899,4273,8175
927,2036,1771,4371,8178
928,1903,2643,3634,8180
929,2117,1664,4400,8181
930,1236,1504,5447,8187
931,3024,2627,2530,8181
932,1819,1913,4449,8181
933,2138,2386,3657,8181
934,2162,1555,4463,8180
935,897,1455,5832,8184
936,2188,1591,4408,8187
937,3539,3170,1471,8180
938,1351,2466,4361,8178
939,2171,1851,4155,8177
940,1922,2215,4039,8176
941,1779,2474,3926,8179
942,2644,1131,4403,8178
943,1702,2925,3550,8177
944,1857,1342,4978,8177
945,2256,2221,3704,8181
946,1474,1322,5387,8183
947,2516,3163,2502,8181
948,658,0,7532,8190
949,3591,3435,1155,8181
950,2028,2231,3922,8181
951,1965,2375,3840,8180
952,1954,1975,4250,8179
953,2403,1856,3922,8181
954,1662,966,5554,8182
955,1925,3149,3110,8184
956,1892,1643,4646,8181
957,1829,1809,4546,8184
958,1596,867,5726,8189
959,3128,4316,735,8179
960,1918,1904,4353,8175
961,2634,1797,3748,8179
962,1489,2251,4440,8180
963,2273,1680,4231,8184
964,2223,1949,4005,8177
965,1765,2217,4195,8177
966,480,148,7561,8189
967,3332,3002,1850,8184
968,2193,3585,2404,8182
969,2159,1203,4824,8186
970,2399,2491,3293,8183
971,1541,2065,4568,8174
972,2308,1901,3975,8184
973,1753,1920,4504,8177
974,2062,2287,3829,8178
975,2236,1885,4060,8181
